Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;32;0;0;0;0;32;2017
110002 ARIQUEMES;104;0;0;0;0;104;2017
110003 CABIXI;11;0;0;0;0;11;2017
110004 CACOAL;297;0;0;0;0;297;2017
110005 CEREJEIRAS;27;0;0;0;0;27;2017
110006 COLORADO DO OESTE;16;0;0;0;0;16;2017
110007 CORUMBIARA;9;0;0;0;0;9;2017
110008 COSTA MARQUES;7;0;0;0;0;7;2017
110009 ESPIGAO D'OESTE;32;0;0;0;0;32;2017
110010 GUAJARA-MIRIM;38;0;0;0;0;38;2017
110011 JARU;112;0;0;0;0;112;2017
110012 JI-PARANA;359;0;0;0;0;359;2017
110013 MACHADINHO D'OESTE;24;0;0;0;0;24;2017
110014 NOVA BRASILANDIA D'OESTE;21;0;0;0;0;21;2017
110015 OURO PRETO DO OESTE;55;0;0;0;0;55;2017
110018 PIMENTA BUENO;109;0;0;0;0;109;2017
110020 PORTO VELHO;714;0;0;0;0;714;2017
110025 PRESIDENTE MEDICI;27;0;0;0;0;27;2017
110026 RIO CRESPO;5;0;0;0;0;5;2017
110028 ROLIM DE MOURA;117;0;0;0;0;117;2017
110029 SANTA LUZIA D'OESTE;11;0;0;0;0;11;2017
110030 VILHENA;254;0;0;0;0;254;2017
110032 SAO MIGUEL DO GUAPORE;18;0;0;0;0;18;2017
110033 NOVA MAMORE;15;0;0;0;0;15;2017
110034 ALVORADA D'OESTE;20;0;0;0;0;20;2017
110037 ALTO ALEGRE DOS PARECIS;10;0;0;0;0;10;2017
110040 ALTO PARAISO;16;0;0;0;0;16;2017
110045 BURITIS;31;0;0;0;0;31;2017
110050 NOVO HORIZONTE DO OESTE;6;0;0;0;0;6;2017
110060 CACAULANDIA;6;0;0;0;0;6;2017
110070 CAMPO NOVO DE RONDONIA;12;0;0;0;0;12;2017
110080 CANDEIAS DO JAMARI;14;0;0;0;0;14;2017
110090 CASTANHEIRAS;6;0;0;0;0;6;2017
110092 CHUPINGUAIA;16;0;0;0;0;16;2017
110094 CUJUBIM;12;0;0;0;0;12;2017
110100 GOVERNADOR JORGE TEIXEIRA;12;0;0;0;0;12;2017
110110 ITAPUA DO OESTE;7;0;0;0;0;7;2017
110120 MINISTRO ANDREAZZA;8;0;0;0;0;8;2017
110130 MIRANTE DA SERRA;10;0;0;0;0;10;2017
110140 MONTE NEGRO;13;0;0;0;0;13;2017
110143 NOVA UNIAO;7;0;0;0;0;7;2017
110145 PARECIS;6;0;0;0;0;6;2017
110146 PIMENTEIRAS DO OESTE;4;0;0;0;0;4;2017
110147 PRIMAVERA DE RONDONIA;3;0;0;0;0;3;2017
110148 SAO FELIPE D'OESTE;6;0;0;0;0;6;2017
110149 SAO FRANCISCO DO GUAPORE;16;0;0;0;0;16;2017
110150 SERINGUEIRAS;8;0;0;0;0;8;2017
110155 TEIXEIROPOLIS;7;0;0;0;0;7;2017
110160 THEOBROMA;10;0;0;0;0;10;2017
110170 URUPA;9;0;0;0;0;9;2017
110175 VALE DO ANARI;11;0;0;0;0;11;2017
110180 VALE DO PARAISO;6;0;0;0;0;6;2017
120001 ACRELANDIA;12;0;0;0;0;12;2017
120005 ASSIS BRASIL;10;0;0;0;0;10;2017
120010 BRASILEIA;19;0;0;0;0;19;2017
120013 BUJARI;6;0;0;0;0;6;2017
120017 CAPIXABA;8;0;0;0;0;8;2017
120020 CRUZEIRO DO SUL;88;0;0;0;0;88;2017
120025 EPITACIOLANDIA;12;0;0;0;0;12;2017
120030 FEIJO;16;0;0;0;0;16;2017
120032 JORDAO;7;0;0;0;0;7;2017
120033 MANCIO LIMA;19;0;0;0;0;19;2017
120034 MANOEL URBANO;6;0;0;0;0;6;2017
120035 MARECHAL THAUMATURGO;10;0;0;0;0;10;2017
120038 PLACIDO DE CASTRO;15;0;0;0;0;15;2017
120039 PORTO WALTER;10;0;0;0;0;10;2017
120040 RIO BRANCO;461;0;0;0;0;461;2017
120042 RODRIGUES ALVES;13;0;0;0;0;13;2017
120043 SANTA ROSA DO PURUS;7;0;0;0;0;7;2017
120045 SENADOR GUIOMARD;19;0;0;0;0;19;2017
120050 SENA MADUREIRA;32;0;0;0;0;32;2017
120060 TARAUACA;22;0;0;0;0;22;2017
120070 XAPURI;13;0;0;0;0;13;2017
120080 PORTO ACRE;10;0;0;0;0;10;2017
130002 ALVARAES;14;0;0;0;0;14;2017
130006 AMATURA;10;0;0;0;0;10;2017
130008 ANAMA;11;0;0;0;0;11;2017
130010 ANORI;4;0;0;0;0;4;2017
130014 APUI;11;0;0;0;0;11;2017
130020 ATALAIA DO NORTE;18;0;0;0;0;18;2017
130030 AUTAZES;23;0;0;0;0;23;2017
130040 BARCELOS;20;0;0;0;0;20;2017
130050 BARREIRINHA;16;0;0;0;0;16;2017
130060 BENJAMIN CONSTANT;18;0;0;0;0;18;2017
130063 BERURI;7;0;0;0;0;7;2017
130068 BOA VISTA DO RAMOS;5;0;0;0;0;5;2017
130070 BOCA DO ACRE;12;0;0;0;0;12;2017
130080 BORBA;17;0;0;0;0;17;2017
130083 CAAPIRANGA;7;0;0;0;0;7;2017
130090 CANUTAMA;4;0;0;0;0;4;2017
130100 CARAUARI;15;0;0;0;0;15;2017
130110 CAREIRO;15;0;0;0;0;15;2017
130115 CAREIRO DA VARZEA;17;0;0;0;0;17;2017
130120 COARI;27;0;0;0;0;27;2017
130130 CODAJAS;10;0;0;0;0;10;2017
130140 EIRUNEPE;13;0;0;0;0;13;2017
130150 ENVIRA;7;0;0;0;0;7;2017
130160 FONTE BOA;10;0;0;0;0;10;2017
130165 GUAJARA;10;0;0;0;0;10;2017
130170 HUMAITA;50;0;0;0;0;50;2017
130180 IPIXUNA;10;0;0;0;0;10;2017
130185 IRANDUBA;25;0;0;0;0;25;2017
130190 ITACOATIARA;43;0;0;0;0;43;2017
130195 ITAMARATI;7;0;0;0;0;7;2017
130200 ITAPIRANGA;7;0;0;0;0;7;2017
130210 JAPURA;9;0;0;0;0;9;2017
130220 JURUA;5;0;0;0;0;5;2017
130230 JUTAI;9;0;0;0;0;9;2017
130240 LABREA;10;0;0;0;0;10;2017
130250 MANACAPURU;28;0;0;0;0;28;2017
130255 MANAQUIRI;8;0;0;0;0;8;2017
130260 MANAUS;1291;0;0;0;0;1291;2017
130270 MANICORE;11;0;0;0;0;11;2017
130280 MARAA;12;0;0;0;0;12;2017
130290 MAUES;27;0;0;0;0;27;2017
130300 NHAMUNDA;14;0;0;0;0;14;2017
130310 NOVA OLINDA DO NORTE;21;0;0;0;0;21;2017
130320 NOVO AIRAO;7;0;0;0;0;7;2017
130330 NOVO ARIPUANA;9;0;0;0;0;9;2017
130340 PARINTINS;47;0;0;0;0;47;2017
130350 PAUINI;11;0;0;0;0;11;2017
130353 PRESIDENTE FIGUEIREDO;31;0;0;0;0;31;2017
130356 RIO PRETO DA EVA;18;0;0;0;0;18;2017
130360 SANTA ISABEL DO RIO NEGRO;10;0;0;0;0;10;2017
130370 SANTO ANTONIO DO ICA;16;0;0;0;0;16;2017
130380 SAO GABRIEL DA CACHOEIRA;37;0;0;0;0;37;2017
130390 SAO PAULO DE OLIVENCA;20;0;0;0;0;20;2017
130395 SAO SEBASTIAO DO UATUMA;7;0;0;0;0;7;2017
130400 SILVES;11;0;0;0;0;11;2017
130406 TABATINGA;26;0;0;0;0;26;2017
130410 TAPAUA;13;0;0;0;0;13;2017
130420 TEFE;45;0;0;0;0;45;2017
130423 TONANTINS;12;0;0;0;0;12;2017
130426 UARINI;5;0;0;0;0;5;2017
130430 URUCARA;9;0;0;0;0;9;2017
130440 URUCURITUBA;8;0;0;0;0;8;2017
140002 AMAJARI;33;0;0;0;0;33;2017
